Сезон,Команда,Win%,Стадия,Зарплатный фонд
2000-01,Philadelphia 76ers,0.683,3,51085458
2000-01,Milwaukee Bucks,0.634,2,57819318
2000-01,Miami Heat,0.610,1,73472329
2000-01,New York Knicks,0.585,1,74007738
2000-01,Toronto Raptors,0.573,2,38313749
2000-01,Charlotte Hornets,0.561,2,46441558
2000-01,Orlando Magic,0.524,1,37459860
2000-01,Indiana Pacers,0.500,1,55086140
2000-01,San Antonio Spurs,0.707,2,57215938
2000-01,Los Angeles Lakers,0.683,4,58968213
2000-01,Sacramento Kings,0.671,2,46266289
2000-01,Utah Jazz,0.646,1,53893860
2000-01,Dallas Mavericks,0.646,1,52274842
2000-01,Phoenix Suns,0.622,1,53906347
2000-01,Portland Trail Blazers,0.610,1,87395140
2000-01,Minnesota Timberwolves,0.573,1,47488500
2002-03,Detroit Pistons,0.610,0,47777888
2002-03,New Jersey Nets,0.598,4,57995152
2002-03,Indiana Pacers,0.585,2,53472323
2002-03,Philadelphia 76ers,0.585,2,64822487
2002-03,New Orleans Hornets,0.573,1,44458882
2002-03,Boston Celtics,0.537,2,52548195
2002-03,Milwaukee Bucks,0.512,1,57995152
2002-03,Orlando Magic,0.512,1,50435346
2002-03,New York Knicks,0.451,0,93452379
2002-03,Washington Wizards,0.451,0,46691190
2002-03,Atlanta Hawks,0.427,0,55711549
2002-03,Chicago Bulls,0.366,0,44531095
2002-03,Miami Heat,0.305,0,57378326
2002-03,Toronto Raptors,0.293,0,55408207
2002-03,Cleveland Cavaliers,0.207,0,49610448
2002-03,San Antonio Spurs,0.732,3,53182559
2002-03,Sacramento Kings,0.720,2,70416596
2002-03,Dallas Mavericks,0.732,2,72940316
2002-03,Minnesota Timberwolves,0.622,1,59518801
2002-03,Los Angeles Lakers,0.610,2,63151182
2002-03,Portland Trail Blazers,0.610,1,105595657
2002-03,Utah Jazz,0.573,1,50934629
2002-03,Phoenix Suns,0.537,1,55225080
2002-03,Houston Rockets,0.524,0,50181239
2002-03,Seattle SuperSonics,0.488,0,40000000
2002-03,Golden State Warriors,0.463,0,47737715
2002-03,Memphis Grizzlies,0.341,0,61009172
2002-03,Los Angeles Clippers,0.329,0,42955777
2002-03,Denver Nuggets,0.207,0,49109209
2003-04,Indiana Pacers,0.744,2,58156236
2003-04,New Jersey Nets,0.573,3,63033243
2003-04,Detroit Pistons,0.659,4,53442834
2003-04,Miami Heat,0.512,2,47349374
2003-04,New Orleans Hornets,0.500,1,49800204
2003-04,Milwaukee Bucks,0.500,1,53229826
2003-04,New York Knicks,0.476,1,89444820
2003-04,Boston Celtics,0.439,1,60185915
2003-04,Cleveland Cavaliers,0.427,0,46186472
2003-04,Toronto Raptors,0.402,0,63033243
2003-04,Philadelphia 76ers,0.402,0,60411079
2003-04,Atlanta Hawks,0.341,0,64497340
2003-04,Washington Wizards,0.305,0,46691190
2003-04,Chicago Bulls,0.280,0,44531095
2003-04,Orlando Magic,0.256,0,50588419
2003-04,Minnesota Timberwolves,0.707,3,71272042
2003-04,Los Angeles Lakers,0.683,2,64123085
2003-04,San Antonio Spurs,0.695,2,46464064
2003-04,Sacramento Kings,0.671,2,68372826
2003-04,Dallas Mavericks,0.634,1,79536723
2003-04,Memphis Grizzlies,0.610,1,57378323
2003-04,Houston Rockets,0.549,1,55401430
2003-04,Denver Nuggets,0.524,1,39398646
2003-04,Utah Jazz,0.512,0,34747674
2003-04,Portland Trail Blazers,0.500,0,82956768
2003-04,Seattle SuperSonics,0.451,0,40000000
2003-04,Golden State Warriors,0.451,0,53376708
2003-04,Phoenix Suns,0.354,0,66931770
2003-04,Los Angeles Clippers,0.341,0,42955777
2004-05,Miami Heat,0.720,3,59523529
2004-05,Detroit Pistons,0.659,4,54762481
2004-05,Boston Celtics,0.549,2,64577356
2004-05,Chicago Bulls,0.573,1,57276129
2004-05,Washington Wizards,0.549,2,49797050
2004-05,Indiana Pacers,0.537,2,66064780
2004-05,Philadelphia 76ers,0.524,1,71951878
2004-05,New Jersey Nets,0.512,1,66445249
2004-05,Cleveland Cavaliers,0.512,0,49175274
2004-05,Orlando Magic,0.439,0,66445249
2004-05,New York Knicks,0.402,0,102567539
2004-05,Toronto Raptors,0.402,0,61703775
2004-05,Milwaukee Bucks,0.366,0,57448246
2004-05,Charlotte Bobcats,0.220,0,23922578
2004-05,Atlanta Hawks,0.159,0,41059616
2004-05,Phoenix Suns,0.756,3,44598682
2004-05,San Antonio Spurs,0.720,4,47504123
2004-05,Seattle SuperSonics,0.634,2,61807688
2004-05,Dallas Mavericks,0.707,2,91908443
2004-05,Houston Rockets,0.622,1,60284303
2004-05,Sacramento Kings,0.610,1,61807688
2004-05,Denver Nuggets,0.598,1,46101759
2004-05,Memphis Grizzlies,0.549,1,67010830
2004-05,Minnesota Timberwolves,0.537,0,70123411
2004-05,Los Angeles Clippers,0.451,0,45483265
2004-05,Los Angeles Lakers,0.415,0,65059098
2004-05,Golden State Warriors,0.415,0,54943723
2004-05,Portland Trail Blazers,0.329,0,83671309
2004-05,Utah Jazz,0.317,0,43515760
2004-05,New Orleans Hornets,0.220,0,56572882
2005-06,Detroit Pistons,0.780,2,59619275
2005-06,Miami Heat,0.634,4,60732452
2005-06,New Jersey Nets,0.598,2,63022514
2005-06,Cleveland Cavaliers,0.610,2,51303962
2005-06,Washington Wizards,0.512,1,54555947
2005-06,Indiana Pacers,0.500,1,78791779
2005-06,Chicago Bulls,0.500,1,57166530
2005-06,Milwaukee Bucks,0.488,1,63022514
2005-06,Philadelphia 76ers,0.463,0,84807300
2005-06,Orlando Magic,0.439,0,75784782
2005-06,Boston Celtics,0.402,0,56907300
2005-06,Toronto Raptors,0.329,0,62411884
2005-06,Charlotte Bobcats,0.317,0,33458932
2005-06,Atlanta Hawks,0.317,0,42944553
